Feature ID,Description,English,Bislama,Pijin,Tok Pisin,Torres Creole
gb121,Can tense be marked by an inflecting word ('auxiliary verb')?,1,0,0,0,0
gb127,Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?,0,0,0,0,0
gb129,Is there a notably small number i.e. about 100 or less of verb roots in the language?,0,0,0,0,0
gb130,What is the pragmatically unmarked order of S and V in intransitive clauses?,1,1,1,1,1
gb131,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,0,0,0,0,0
gb132,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,1,1,1,1,1
gb133,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,0,0,0,0,0
gb134,Is the order of constituents the same in main and subordinate clauses?,1,1,1,1,1
gb135,Do clausal objects usually occur in the same position as nominal objects?,1,1,1,1,1
gb136,Is the order of core argument (i.e. S/A/P) constituents fixed?,1,1,1,1,1
gb137,Can standard negation be marked clause-finally?,0,0,0,0,0
gb138,Can standard negation be marked clause-initially?,1,0,0,0,0
gb147,Is there a morphological passive marked on the lexical verb?,0,0,0,0,0
gb148,Is there a morphological antipassive marked on the lexical verb?,0,0,0,0,0
gb149,Is there a morphologically marked inverse on verbs?,0,0,0,0,0
gb150,Is there clause chaining?,0,0,0,0,0
gb151,Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause ('switch reference')?,0,0,0,0,0
gb152,Is there a morphologically marked distinction between simultaneous and sequential clauses?,0,0,0,0,0
gb155,Are causatives formed by affixes or clitics on verbs?,0,0,1,1,1
gb156,Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?,0,0,0,0,0
gb158,Are verbs reduplicated?,0,1,1,1,0
gb159,Are nouns reduplicated?,0,0,0,0,0
gb165,Is there productive morphological trial marking on nouns?,0,0,0,0,0
gb166,Is there productive morphological paucal marking on nouns?,0,0,0,0,0
gb167,Is there a logophoric pronoun?,0,0,0,0,0
gb170,Can an adnominal property word agree with the noun in gender/noun class?,0,0,0,0,0
gb171,Can an adnominal demonstrative agree with the noun in gender/noun class?,0,0,0,0,0
gb172,Can an article agree with the noun in gender/noun class?,0,0,0,0,0
gb177,Can the verb carry a marker of animacy of argument unrelated to any gender/noun class of the argument visible in the NP domain?,0,0,0,0,1
gb184,Can an adnominal property word agree with the noun in number?,1,0,0,0,0
gb185,Can an adnominal demonstrative agree with the noun in number?,1,0,0,0,1
gb187,Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?,1,0,0,0,0
gb188,Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?,1,0,0,0,0
gb192,Is there a gender system where a noun's phonological properties are a factor in class assignment?,0,0,0,0,0
gb196,Is there a male/female distinction in 2nd person independent pronouns?,0,0,0,0,0
gb197,Is there a male/female distinction in 1st person independent pronouns?,0,0,0,0,0
gb198,Can an adnominal numeral agree with the noun in gender/noun class?,0,0,0,0,0
gb204,Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?,1,1,1,0,0
gb250,Can predicative possession be expressed with a transitive 'habeo' verb?,1,1,1,1,1
gb257,Can polar interrogation be marked by intonation only?,1,1,1,1,1
gb298,Can standard negation be marked by an inflecting word ('auxiliary verb')?,0,0,0,0,0
gb299,Can standard negation be marked by a non-inflecting word ('auxiliary particle')?,1,1,1,1,1
gb300,Does the verb for 'give' have suppletive verb forms?,0,0,0,0,0
gb301,Is there an inclusory construction?,0,1,1,1,1
gb302,Is there a phonologically free passive marker ('particle' or 'auxiliary')?,1,0,0,0,0
gb303,Is there a phonologically free antipassive marker ('particle' or 'auxiliary')?,0,0,0,0,0
gb304,Can the agent be expressed overtly in a passive clause?,1,0,0,0,0
gb306,Is there a phonologically independent non-bipartite reciprocal pronoun?,0,0,0,0,1
gb309,Are there multiple past or multiple future tenses distinguishing distance from Time of Reference?,0,0,0,0,0
gb312,Is there overt morphological marking on the verb dedicated to mood?,0,0,0,0,0
gb313,Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?,1,0,0,1,1
gb314,Can augmentative meaning be expressed productively by a shift of gender/noun class?,0,0,0,0,0
gb315,Can diminutive meaning be expressed productively by a shift of gender/noun class?,0,0,0,0,0
gb317,Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?,0,0,0,0,0
gb318,Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?,0,1,1,1,1
gb319,Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?,0,0,0,0,0
gb320,Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?,0,0,0,0,0
gb321,Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?,0,0,0,0,0
gb324,Is there an interrogative verb for content interrogatives (who? what? etc.)?,0,0,0,0,0
gb325,Is there a count/mass distinction in interrogative quantifiers?,1,0,0,0,0
gb326,Do (nominal) content interrogatives normally or frequently occur in situ?,0,1,1,1,0
gb327,Can the relative clause follow the noun?,1,1,1,1,1
gb328,Can the relative clause precede the noun?,0,0,0,0,0
gb329,Are there internally-headed relative clauses?,0,0,0,0,0
gb330,Are there correlative relative clauses?,0,0,0,0,0
gb331,Are there non-adjacent relative clauses?,1,0,0,0,0
gb333,Is there a decimal numeral system?,1,1,1,1,1
gb334,Is there synchronic evidence for any element of a quinary numeral system?,0,0,0,0,0
gb335,Is there synchronic evidence for any element of a vigesimal numeral system?,0,0,0,0,0
gb336,Is there a body-part tallying system?,0,0,0,0,0
gb400,Are all person categories neutralized in some voice tense aspect mood and/or negation?,1,0,0,0,0
gb401,Is there a class of patient-labile verbs?,1,0,0,0,0
gb402,Does the verb for 'see' have suppletive verb forms?,0,0,0,0,0
gb403,Does the verb for 'come' have suppletive verb forms?,0,0,0,0,0
gb408,Is there any accusative alignment of flagging?,1,0,0,0,1
gb409,Is there any ergative alignment of flagging?,0,0,0,0,0
gb410,Is there any neutral alignment of flagging?,1,1,1,1,1
gb430,Can adnominal possession be marked by a prefix on the possessor?,0,1,0,0,0
gb431,Can adnominal possession be marked by a prefix on the possessed noun?,0,0,0,0,0
gb432,Can adnominal possession be marked by a suffix on the possessor?,1,0,0,0,0
gb433,Can adnominal possession be marked by a suffix on the possessed noun?,0,0,0,0,0
gb519,Can mood be marked by a non-inflecting word ('auxiliary particle')?,1,1,1,1,1
gb520,Can aspect be marked by a non-inflecting word ('auxiliary particle')?,0,1,1,1,1
gb521,Can tense be marked by a non-inflecting word ('auxiliary particle')?,0,0,0,1,1
